title,lifetime_gross,year
Star Wars: The Force Awakens,936662225,2015
Avatar,760507625,2009
Black Panther,700059566,2018
Avengers: Infinity War,678681680,2018
Titanic,659363944,1997
Jurassic World,652270625,2015
Marvel's The Avengers,623357910,2012
Star Wars: The Last Jedi,620181382,2017
Incredibles 2,597066966,2018
The Dark Knight,534858444,2008
Rogue One: A Star Wars Story,532177324,2016
Beauty and the Beast (2017),504014165,2017
Finding Dory,486295561,2016
Star Wars: Episode I - The Phantom Menace,474544677,1999
Star Wars,460998007,1977
Avengers: Age of Ultron,459005868,2015
The Dark Knight Rises,448139099,2012
Shrek 2,441226247,2004
E.T.: The Extra-Terrestrial,435110554,1982
The Hunger Games: Catching Fire,424668047,2013
Pirates of the Caribbean: Dead Man's Chest,423315812,2006
The Lion King,422783777,1994
Toy Story 3,415004880,2010
Jurassic World: Fallen Kingdom,413025695,2018
Wonder Woman,412563408,2017
Iron Man 3,409013994,2013
Captain America: Civil War,408084349,2016
The Hunger Games,408010692,2012
Jumanji: Welcome to the Jungle,404515480,2017
Spider-Man,403706375,2002
Jurassic Park,402453882,1993
Transformers: Revenge of the Fallen,402111870,2009
Frozen,400738009,2013
Guardians of the Galaxy Vol. 2,389813101,2017
Harry Potter and the Deathly Hallows Part 2,381011219,2011
Finding Nemo,380843261,2003
Star Wars: Episode III - Revenge of the Sith,380270577,2005
The Lord of the Rings: The Return of the King,377845905,2003
Spider-Man 2,373585825,2004
The Passion of the Christ,370782930,2004
The Secret Life of Pets,368384330,2016
Despicable Me 2,368061265,2013
The Jungle Book (2016),364001123,2016
Deadpool,363070709,2016
Inside Out,356461711,2015
Furious 7,353007020,2015
Transformers: Dark of the Moon,352390543,2011
American Sniper,350126372,2014
The Lord of the Rings: The Two Towers,342551365,2002
Zootopia,341268248,2016
The Hunger Games: Mockingjay - Part 1,337135885,2014
Spider-Man 3,336530303,2007
Minions,336045770,2015
Spider-Man: Homecoming,334201140,2017
Alice in Wonderland (2010),334191110,2010
Guardians of the Galaxy,333176600,2014
Batman v Superman: Dawn of Justice,330360194,2016
Forrest Gump,330252182,1994
It,327481748,2017
Suicide Squad,325100054,2016
Shrek the Third,322719944,2007
Transformers,319246193,2007
Iron Man,318412101,2008
Deadpool 2,318365417,2018
Harry Potter and the Sorcerer's Stone,317575550,2001
Indiana Jones and the Kingdom of the Crystal Skull,317101119,2008
The Lord of the Rings: The Fellowship of the Ring,315544750,2001
Thor: Ragnarok,315058289,2017
Iron Man 2,312433331,2010
Star Wars: Episode II - Attack of the Clones,310676740,2002
Pirates of the Caribbean: At World's End,309420425,2007
Return of the Jedi,309306177,1983
Independence Day,306169268,1996
Pirates of the Caribbean: The Curse of the Black Pearl,305413918,2003
Skyfall,304360277,2012
The Hobbit: An Unexpected Journey,303003568,2012
Harry Potter and the Half-Blood Prince,301959197,2009
The Twilight Saga: Eclipse,300531751,2010
The Twilight Saga: New Moon,296623634,2009
Harry Potter and the Deathly Hallows Part 1,295983305,2010
The Sixth Sense,293506292,1999
Up,293004164,2009
Inception,292576195,2010
The Twilight Saga: Breaking Dawn Part 2,292324737,2012
Harry Potter and the Order of the Phoenix,292004738,2007
"The Chronicles of Narnia: The Lion, the Witch and the Wardrobe",291710957,2005
Man of Steel,291045518,2013
The Empire Strikes Back,290475067,1980
Harry Potter and the Goblet of Fire,290013036,2005
"Monsters, Inc.",289916256,2001
Home Alone,285761243,1990
The Hunger Games: Mockingjay - Part 2,281723902,2015
The Matrix Reloaded,281576461,2003
The Twilight Saga: Breaking Dawn Part 1,281287133,2011
Meet the Fockers,279261160,2004
The Hangover,277322503,2009
Gravity,274092705,2013
Sing,270395425,2016
Monsters University,268492764,2013
Shrek,267665011,2001
Despicable Me 3,264624300,2017
The Amazing Spider-Man,262030663,2012
Harry Potter and the Chamber of Secrets,261988482,2002
The Incredibles,261441092,2004
How the Grinch Stole Christmas,260044825,2000
Jaws,260000000,1975
Captain America: The Winter Soldier,259766572,2014
The Hobbit: The Desolation of Smaug,258366855,2013
The LEGO Movie,257760692,2014
